arxiv_id,title,year,authors_first,robot_type,task,model_type,ros_integration,simulator,dataset,hardware,sim2real,latency_ms,compute_resources,code_available,data_available,limitations,gap_category,category,file_path
2406.09246,OpenVLA: An Open-Source Vision-Language-Action Model,2024,Kim et al.,Manipulator arm,Manipulation,VLA,Partial (eval),-,Open X-Embodiment,Franka Panda,Yes,~100,1x A100 (train) / 1x RTX 4090 (infer),Yes,Yes,Requires per-task fine-tuning; high latency for reactive control,Edge inference,VLA_Models,papers/01_VLA_Models/OpenVLA_An_Open-Source_Vision-Language-Action_Model.pdf
2212.06817,RT-1: Robotics Transformer for Real-World Control at Scale,2022,Brohan et al.,Mobile manipulator,Multi-task manipulation,VLA,No,-,Proprietary (130k demos),Everyday Robots,Yes,~150,TPU/GPU cluster,No,No,Proprietary model; closed dataset,Foundational architecture,VLA_Models,papers/01_VLA_Models/RT-1_Robotics_Transformer_for_Real-World_Control_at_Scale.pdf
2307.15818,RT-2: Vision-Language-Action Models Transfer Web Knowledge to Robotic Control,2023,Zitkovich et al.,Mobile manipulator,Manipulation + reasoning,VLA,No,-,Web + robot demos,Everyday Robots,Yes,~200,TPU v4,No,No,Requires large infrastructure; no open-source,Web→robot transfer,VLA_Models,papers/01_VLA_Models/RT-2_Vision-Language-Action_Models_Transfer_Web_Knowledge.pdf
2405.12213,Octo: An Open-Source Generalist Robot Policy,2024,Team et al.,Multi-robot,Generalist policy,VLA,Partial,-,Open X-Embodiment (800k),Multiple,Yes,~80,1x A100,Yes,Yes,Limited to simple manipulation tasks,Generalization,VLA_Models,papers/01_VLA_Models/Octo_An_Open-Source_Generalist_Robot_Policy.pdf
2310.08864,Open X-Embodiment: Robotic Learning Datasets and RT-X Models,2023,Collaboration et al.,22 robots,Cross-embodiment,VLA,No,-,Open X-Embodiment,Multiple,Yes,N/A,TPU cluster,Yes,Yes,Data heterogeneity; action alignment,Cross-robot datasets,VLA_Models,papers/01_VLA_Models/Open_X-Embodiment_Robotic_Learning_Datasets_and_RTX_Models.pdf
2410.24164,π0: A Vision-Language-Action Flow Model for General Robot Control,2024,Black et al.,Multi-robot,Dexterous manipulation,VLA (flow),No,-,Proprietary,Multiple,Yes,~50,High-end GPU,No,No,Proprietary model; no open-source code,Flow matching,VLA_Models,papers/01_VLA_Models/pi0_Vision-Language-Action_Flow_Models.pdf
1904.01201,Habitat: A Platform for Embodied AI Research,2019,Savva et al.,Mobile robot,Navigation,Simulator,No,Habitat,Matterport3D,N/A,N/A,N/A,Sim only,Yes,Yes,No manipulation; navigation mostly,Navigation simulation,Simulation_Environments,papers/02_Simulation_Environments/Habitat_A_Platform_for_Embodied_AI_Research.pdf
1712.05474,AI2-THOR: An Interactive 3D Environment for Visual AI,2017,Kolve et al.,Mobile robot,Interactive tasks,Simulator,No,AI2-THOR,Proprietary,N/A,N/A,N/A,Sim only,Yes,Yes,Limited physics; no ROS,Interactivity,Simulation_Environments,papers/02_Simulation_Environments/AI2-THOR_An_Interactive_3D_Environment_for_Visual_AI.pdf
2008.11765,iGibson: A Simulation Environment for Interactive Tasks in Large Realistic Scenes,2020,Li et al.,Mobile manipulator,Household tasks,Simulator,No,iGibson,3D scenes,N/A,N/A,N/A,Sim only,Yes,Yes,Requires powerful GPU,Realistic scenes,Simulation_Environments,papers/02_Simulation_Environments/iGibson_A_Simulation_Environment_for_Interactive_Tasks.pdf
2109.08238,Habitat-Matterport 3D Dataset (HM3D): 1000 Large-scale 3D Environments for Embodied AI,2021,Ramakrishnan et al.,Mobile robot,Navigation,Dataset,No,Habitat,HM3D,N/A,N/A,N/A,Sim only,Yes,Yes,Scans only; no dynamics,3D dataset,Simulation_Environments,papers/02_Simulation_Environments/Habitat-Matterport_3D_Dataset.pdf
2406.02523,RoboCasa: Large-Scale Simulation of Everyday Tasks for Generalist Robots,2024,Nasiriany et al.,Manipulator,Kitchen tasks,Simulator,Partial (robosuite),MuJoCo/robosuite,Procedural,N/A,Partial,N/A,Sim only,Yes,Yes,Limited contact physics,Procedural generation,Simulation_Environments,papers/02_Simulation_Environments/RoboCasa_Large-Scale_Simulation_of_Everyday_Tasks.pdf
1703.06907,Domain Randomization for Transferring Deep Neural Networks from Simulation to the Real World,2017,Tobin et al.,Robotic arm,Grasp perception,Sim2Real,No,Gazebo/Bullet,Synthetic,UR5,Yes,N/A,Standard GPU,Yes,No,Foundational technique; perception only,Visual randomization,Sim2Real_RL,papers/03_Sim2Real_RL/Domain_Randomization_for_Transferring_DNNs_from_Simulation.pdf
1710.06537,Sim-to-Real Transfer of Robotic Control with Dynamics Randomization,2017,Peng et al.,Robotic arm,Pushing/locomotion,Sim2Real,No,Custom,Synthetic,Multiple,Yes,N/A,Standard GPU,No,No,Dynamics randomization manual,Dynamics randomization,Sim2Real_RL,papers/03_Sim2Real_RL/Sim-to-Real_Transfer_of_Robotic_Control_with_Dynamics_Randomization.pdf
1910.11100,Learning Quadrupedal Locomotion over Challenging Terrain,2019,Lee et al.,Quadruped (ANYmal),Locomotion,RL,Partial,Custom,Proprietary,ANYmal,Yes,~20,GPU cluster,Yes,No,Locomotion only; unstructured terrain,Locomotion,Sim2Real_RL,papers/03_Sim2Real_RL/Learning_Quadrupedal_Locomotion_over_Challenging_Terrain.pdf
1910.07113,Sim-to-Real Transfer for Dexterous Manipulation,2019,OpenAI et al.,Dexterous hand,Cube manipulation,RL,No,Custom,Proprietary,Shadow Hand,Yes,N/A,GPU cluster,No,No,Very specific hardware,Dexterous manipulation,Sim2Real_RL,papers/03_Sim2Real_RL/Sim-to-Real_Transfer_for_Dexterous_Manipulation.pdf
1901.08652,Learning Agile and Dynamic Motor Skills for Legged Robots,2019,Hwangbo et al.,Quadruped (ANYmal),Agile locomotion,RL,Partial,Isaac Gym/Raisim,Proprietary,ANYmal,Yes,~10,GPU cluster,Yes,No,Agile locomotion only,Agile locomotion,Sim2Real_RL,papers/03_Sim2Real_RL/Learning_Agile_and_Dynamic_Motor_Skills_for_Legged_Robots.pdf
